broker;district;price;type;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;sold_date;is_sold;days_on_market;price_per_m2
Silvio Iwata;Jd Alvorada;250000.0;;Apartamento;54.63;-23.3885311;-51.9074166;2.0;1.0;1.0;2025-08-14;;False;;4576.240161083653
Silvio Iwata;Pq Res Cidade Nova;275000.0;;Apartamento;;-23.4019932;-51.9303597;2.0;1.0;1.0;2025-08-14;;False;;
Silvio Iwata;;279000.0;;Casa;73.65;-23.4632953;-51.9572966;3.0;2.0;1.0;2025-08-14;;False;;3788.1873727087573
Silvio Iwata;Jd Alvorada;300000.0;;Apartamento;47.79;-23.3901235;-51.9109278;2.0;1.0;1.0;2025-08-14;;False;;6277.463904582549
Silvio Iwata;;320000.0;;Casa;73.93;-23.4104769;-51.8662456;2.0;1.0;2.0;2025-08-14;;False;;4328.4187745164345
Silvio Iwata;;389000.0;;Casa;99.0;-23.398539399999983;-51.897462200000014;3.0;2.0;2.0;2025-08-14;;False;;3929.2929292929293
Silvio Iwata;Zona 07;490000.0;;Apartamento;96.6;-23.41708279999999;-51.9275967;3.0;3.0;1.0;2025-08-14;;False;;5072.463768115942
Silvio Iwata;Zona 01 Centro;590000.0;;Apartamento;122.94;-23.4240536;-51.9353048;3.0;3.0;1.0;2025-08-14;;False;;4799.088986497479
Silvio Iwata;Pq Industrial;650000.0;;Terreno;360.0;-23.447605;-51.97133;;;;2025-08-14;;False;;1805.5555555555557
Silvio Iwata;;800000.0;;Terreno;513.41;-23.4446186;-51.9542987;;;;2025-08-14;;False;;1558.208838939639
Silvio Iwata;;960000.0;;Casa;160.0;-23.3942704;-51.9481938;3.0;3.0;2.0;2025-08-14;;False;;6000.0
Silvio Iwata;;980000.0;;Casa;268.9;-23.4153538;-51.9184443;4.0;2.0;3.0;2025-08-14;;False;;3644.477500929714
Silvio Iwata;Zona 01 Centro;1180000.0;;Apartamento;97.72;-23.4221134;-51.931513;3.0;2.0;2.0;2025-08-14;;False;;12075.317232910356
Silvio Iwata;;10000000.0;;Terreno;3322.22;-23.42730769999999;-51.96360450000001;;;;2025-08-14;;False;;3010.035458217698
Pedro Granado Imóveis;Loteamento Madrid;180000.0;Padrão;Terreno;300.0;;;;;;2025-08-18;;False;;600.0
Pedro Granado Imóveis;Jardim Verônica;795000.0;Sobrado;Casa;224.4;;;3.0;4.0;3.0;2025-08-18;;False;;3542.7807486631013
Lelo Imóveis;Jardim Monte Rei;560000.0;;Comercial;;-23.3778295;-51.9625241;;;;2025-08-18;;False;;
Lelo Imóveis;Vila Progresso;1590000.0;;Casa;239.0;-23.4121654;-51.9527214;3.0;;4.0;2025-08-18;2025-09-03;True;16.0;6652.719665271967
Lelo Imóveis;Zona 07;350000.0;;Apartamento;110.65;-23.4150944;-51.9287068;3.0;;1.0;2025-08-18;;False;;3163.1269769543605
Lelo Imóveis;Zona 01;890000.0;;Apartamento;241.62;-23.4240571;-51.9426816;3.0;;2.0;2025-08-18;;False;;3683.469911431173
Lelo Imóveis;Jardim Real;1600000.0;;Casa;306.0;-23.3951301;-51.9523429;3.0;;3.0;2025-08-19;;False;;5228.75816993464
Lelo Imóveis;Zona 07;335000.0;;Apartamento;104.14;-23.4074961;-51.945828;2.0;;1.0;2025-08-19;;False;;3216.8235068177455
Lelo Imóveis;Zona 07;780000.0;;Apartamento;198.29;-23.4170866;-51.9249715;3.0;;2.0;2025-08-19;;False;;3933.6325583740986
Lelo Imóveis;Jardim Alvorada;195000.0;;Apartamento;56.58;-23.389982;-51.9108452;1.0;;1.0;2025-08-19;;False;;3446.4475079533404
Lelo Imóveis;Jardim Monte Carlo;490000.0;;Casa;139.69;-23.4106094;-51.9619933;3.0;;1.0;2025-08-19;;False;;3507.767198797337
Lelo Imóveis;Jardim Aurora;349000.0;;Casa;79.43;-23.4161541;-51.9741423;3.0;;;2025-08-19;2025-09-03;True;15.0;4393.805866800956
Silvio Iwata;Jd Alvorada;250000.0;;Apartamento;48.27;-23.3901235;-51.9109278;2.0;1.0;1.0;2025-08-19;;False;;5179.200331468821
Silvio Iwata;;278000.0;;Terreno;450.0;-23.3937835;-51.9073289;;;;2025-08-19;2025-09-03;True;15.0;617.7777777777778
Silvio Iwata;;278000.0;;Terreno;450.0;-23.3938963;-51.9074015;;;;2025-08-19;2025-09-03;True;15.0;617.7777777777778
Silvio Iwata;;360000.0;;Casa;63.0;-23.4465211;-51.9235759;3.0;1.0;1.0;2025-08-19;;False;;5714.285714285715
Silvio Iwata;;1450000.0;;Casa;365.49;-23.437391;-51.9456208;4.0;4.0;4.0;2025-08-19;;False;;3967.2768064789734
Pedro Granado Imóveis;Jardim Pilar;760000.0;Casa;Casa;209.38;;;3.0;4.0;2.0;2025-08-20;;False;;3629.7640653357535
Pedro Granado Imóveis;Zona 01;950000.0;Padrão;Apartamento;140.21;;;3.0;3.0;1.0;2025-08-20;;False;;6775.550959275372
Lelo Imóveis;Jardim Alvorada;1950000.0;;Apartamento;350.0;-23.4055512;-51.9225567;;;;2025-08-20;;False;;5571.428571428572
Lelo Imóveis;Parque Industrial;215000.0;;Apartamento;44.6;-23.4368764;-51.9747953;2.0;;1.0;2025-08-20;;False;;4820.627802690583
Lelo Imóveis;Vila Morangueira;460000.0;;Casa;500.0;-23.4152644;-51.908678;;;;2025-08-20;2025-09-03;True;14.0;920.0
Lelo Imóveis;Vila Morangueira;598000.0;;Casa;480.0;-23.4150582;-51.9035085;3.0;;3.0;2025-08-20;;False;;1245.8333333333333
Lelo Imóveis;Vila Vardelina;340000.0;;Apartamento;79.95;-23.4004627;-51.9650029;3.0;;1.0;2025-08-20;2025-09-03;True;14.0;4252.657911194497
Lelo Imóveis;Jardim Canada;540000.0;;Casa;121.92;-23.4069952;-51.955679;3.0;;1.0;2025-08-20;;False;;4429.133858267716
Lelo Imóveis;Zona 03;3250000.0;;Apartamento;3.0;-23.4250343;-51.9274536;3.0;;;2025-08-20;;False;;1083333.3333333333
Silvio Iwata;;850000.0;;Casa;222.0;-23.4219005;-51.8961096;3.0;2.0;3.0;2025-08-20;;False;;3828.828828828829
Pedro Granado Imóveis;Jardim Alvorada;245000.0;Padrão;Apartamento;50.48;;;2.0;1.0;;2025-08-21;2025-09-03;True;13.0;4853.407290015848
Pedro Granado Imóveis;Zona 03;950000.0;Padrão;Apartamento;96.44;;;2.0;2.0;1.0;2025-08-21;;False;;9850.684363334716
Pedro Granado Imóveis;Zona 01;1290000.0;Padrão;Apartamento;150.0;;;3.0;3.0;1.0;2025-08-21;2025-08-27;True;6.0;8600.0
Lelo Imóveis;Zona 07;900000.0;;Apartamento;179.81;-23.414027;-51.9307892;3.0;;2.0;2025-08-21;;False;;5005.283354652132
Silvio Iwata;;190000.0;;Terreno;200.0;-23.4588035;-51.9632562;;;;2025-08-21;;False;;950.0
Silvio Iwata;;430000.0;;Casa;104.81;-23.389885;-51.9634549;2.0;2.0;2.0;2025-08-21;;False;;4102.661959736666
Silvio Iwata;;1850000.0;;Casa;571.43;-23.42420513916809;-51.91351179118483;1.0;2.0;3.0;2025-08-21;2025-09-03;True;13.0;3237.4919062702347
Pedro Granado Imóveis;Zona 03;;Padrão;Apartamento;98.11;;;3.0;2.0;1.0;2025-08-22;;False;;
Lelo Imóveis;Conjunto Habitacional Requiao;239000.0;;Casa;300.0;-23.4106493;-51.8717326;2.0;;2.0;2025-08-22;;False;;796.6666666666666
Lelo Imóveis;Jardim Paulista Iii;350000.0;;Casa;155.0;-23.4017641;-51.8747895;;;;2025-08-22;2025-09-03;True;12.0;2258.064516129032
Lelo Imóveis;Vila Morangueira;460000.0;;Casa;500.0;-23.4152644;-51.908678;3.0;;2.0;2025-08-22;;False;;920.0
Lelo Imóveis;Jardim Los Angeles;850000.0;;Casa;276.64;-23.4089412;-51.9635282;3.0;;;2025-08-22;;False;;3072.585309427415
Lelo Imóveis;Conjunto Habitacional Requiao;270000.0;;Casa;300.0;-23.411865;-51.875557;2.0;;2.0;2025-08-22;;False;;900.0
Silvio Iwata;;385000.0;;Casa;102.69;-23.4557506;-51.9213456;2.0;2.0;3.0;2025-08-22;;False;;3749.147920927062
Pedro Granado Imóveis;Jardim Santa Rita;1200000.0;Padrão;Apartamento;112.85;;;3.0;2.0;1.0;2025-08-23;;False;;10633.584404076208
Lelo Imóveis;Zona 07;425000.0;;Apartamento;124.3;-23.413462;-51.944045;2.0;;1.0;2025-08-23;;False;;3419.147224456959
Silvio Iwata;Jd Novo Horizonte;290000.0;;Apartamento;84.6;-23.4399775;-51.9358639;3.0;2.0;1.0;2025-08-23;;False;;3427.895981087471
Silvio Iwata;;299000.0;;Casa;85.9;-23.3999727;-51.97028460000001;2.0;1.0;1.0;2025-08-23;;False;;3480.7916181606515
Silvio Iwata;;440000.0;;Casa;99.92;-23.3786079;-51.95047839999999;3.0;1.0;2.0;2025-08-23;;False;;4403.522818254603
Silvio Iwata;;500000.0;;Casa;95.5;-23.38701479999999;-51.96503370000001;3.0;2.0;2.0;2025-08-23;;False;;5235.602094240838
Silvio Iwata;Zona 01 Centro;550000.0;;Apartamento;51.4;-23.4225607;-51.9410905;2.0;2.0;1.0;2025-08-23;;False;;10700.389105058366
Silvio Iwata;Zona 01 Centro;1190000.0;;Apartamento;207.11;-23.424594299999995;-51.9337258;3.0;3.0;2.0;2025-08-23;;False;;5745.73897928637
Silvio Iwata;Zona 03;1700000.0;;Apartamento;119.87;-23.4298313;-51.9256095;3.0;3.0;3.0;2025-08-23;;False;;14182.0305330775
Silvio Iwata;;450000.0;;Casa;180.69;-23.408129;-51.910689;3.0;2.0;1.0;2025-08-24;;False;;2490.4532624937738
Pedro Granado Imóveis;Novo Centro;570000.0;Padrão;Apartamento;66.86;;;2.0;2.0;1.0;2025-08-25;;False;;8525.276697577026
Pedro Granado Imóveis;Zona 08;1500000.0;Sobrado;Casa;231.12;;;3.0;3.0;1.0;2025-08-25;;False;;6490.134994807892
Lelo Imóveis;Jardim Olimpico;550000.0;;Casa;150.0;-23.4130547;-51.9794179;3.0;;4.0;2025-08-25;2025-09-03;True;9.0;3666.6666666666665
Lelo Imóveis;Jardim Monte Rei;510000.0;;Casa;150.0;-23.3774302;-51.9563495;3.0;;2.0;2025-08-25;;False;;3400.0
