property_url;broker;district;price;type;city;state;ref;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;sold_date
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/conjunto-habitacional-requiao/35543;Pedro Granado Imóveis;Conjunto Habitacional Requião;R$ 240.000,00;Padrão;Maringá;PR;35543.0;Terreno;360,77 m²;-23.40784048574457;-51.86872356233084;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-novo-paulista/01463;Pedro Granado Imóveis;Jardim Novo Paulista;R$ 240.000,00;Padrão;Maringá;Pr;1463.0;Terreno;386,52 m²;-23.410464;-51.8659813;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/ebenezer/13133;Pedro Granado Imóveis;Ebenezer;R$ 245.000,00;Padrão;Maringá;PR;13133.0;Apartamento;50,48 m²;-23.39141726206456;-51.90608350614623;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-olimpico/04412;Pedro Granado Imóveis;Jardim Olímpico;R$ 250.000,00;Padrão;Maringá;PR;4412.0;Terreno;356,40 m²;-23.4074681;-51.9797215;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/condominio/loteamento-sumare/03992;Pedro Granado Imóveis;Loteamento Sumaré;R$ 250.000,00;Condomínio;Maringá;PR;3992.0;Terreno;500,00 m²;-23.36911418173087;-51.90363586872559;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-paris/55613;Pedro Granado Imóveis;Jardim Paris;R$ 250.000,00;Padrão;Maringá;PR;55613.0;Terreno;150,00 m²;-23.38464032908278;-51.95290027619629;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/vila-marumby/78023;Pedro Granado Imóveis;Vila Marumby;R$ 250.000,00;Padrão;Maringá;PR;78023.0;Apartamento;80,56 m²;-23.4428609;-51.9262951;3;2;1;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-aurora/30443;Pedro Granado Imóveis;Jardim Aurora;R$ 250.000,00;Padrão;Maringá;PR;30443.0;Terreno;375,00 m²;-23.4156954;-51.9726055;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/comercial/vila-santa-izabel/52553;Pedro Granado Imóveis;Vila Santa Izabel;R$ 250.000,00;Comercial;Maringá;PR;52553.0;Terreno;307,81 m²;-23.4061193;-51.96389629999999;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/bom-jardim/12563;Pedro Granado Imóveis;Bom Jardim;R$ 250.000,00;Padrão;Maringá;PR;12563.0;Terreno;201,00 m²;-23.4112568;-51.8862664;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-paris/5639;Pedro Granado Imóveis;Jardim Paris;R$ 255.000,00;Casa;Maringa;PR;5639.0;Casa/Sobrado;65,70 m²;-23.3851949;-51.94889839999996;1;1;1;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/72353;Pedro Granado Imóveis;Zona 07;R$ 255.000,00;Padrão;Maringá;PR;72353.0;Apartamento;26,45 m²;-23.4108352;-51.9347743;1;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-paulista-ii/30653;Pedro Granado Imóveis;Jardim Paulista Ii;R$ 255.000,00;Casa;Maringá;PR;30653.0;Casa/Sobrado;150,57 m²;-23.4130971;-51.86354859999999;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-tabaete/33173;Pedro Granado Imóveis;Jardim Tabaete;R$ 259.000,00;Padrão;Maringá;PR;33173.0;Apartamento;55,96 m²;-25.08559889706477;-51.767578125;3;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/parque-das-grevileas-ii-parte/95843;Pedro Granado Imóveis;Parque Das Grevíleas Ii Parte;R$ 260.000,00;Padrão;Maringá;PR;95843.0;Terreno;300,00 m²;-23.3761195;-51.9340275;-;-;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/comercial/sala/zona-01/99122;Pedro Granado Imóveis;Zona 01;R$ 265.000,00;Sala;Maringá;PR;99122.0;Comercial;64,10 m²;-23.4211162;-51.9436735;-;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/vila-morangueira/67103;Pedro Granado Imóveis;Vila Morangueira;R$ 265.000,00;Casa;Maringá;PR;67103.0;Casa/Sobrado;237,76 m²;-23.4183028;-51.9021634;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/87872;Pedro Granado Imóveis;Jardim América;R$ 270.000,00;Padrão;Maringá;PR;87872.0;Apartamento;52,00 m²;-23.4275716;-51.8876177;2;1;-;2025-04-15;
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-america/49613;Pedro Granado Imóveis;Jardim América;R$ 270.000,00;Padrão;Maringá;PR;49613.0;Apartamento;45,86 m²;-23.4279265;-51.8869951;2;1;-;2025-04-15;
