property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;added_date
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-jardim-alvorada-maringa-com-garagem-368m2-venda-rs-1360000?id=79900&ref=79900.8357;Lelo Imóveis;Jardim Alvorada;R$ 1.360.000,00;;Maringa;PR;79900.8357;Casa;368,00m²;-23.4029;-51.9282184;3;;3;;;;;;;;;;;;;;;2025-02-11
https://www.silvioiwata.com.br/imovel/3620005602/apartamento-a-venda/maringa-pr-jd-alvorada ;Silvio Iwata;Jd Alvorada;R$ 260.000,00;;Maringá;PR;;Apartamento;61,73 m²;-23.3913305;-51.9062024;2;1;1;;;;;;;;;;;;;;;2025-02-11
https://www.silvioiwata.com.br/imovel/3620005601/casa-a-venda/maringa-pr-jd-sao-jorge ;Silvio Iwata;;R$ 430.000,00;;Maringá;PR;;Casa;80,00 m²;-23.39983;-51.9630346;2;1;2;;;;;;;;;;;;;;;2025-02-11
https://www.silvioiwata.com.br/imovel/3620004629/apartamento-a-venda/maringa-pr-zona-07 ;Silvio Iwata;Zona 07;R$ 490.000,00;;Maringá;PR;;Apartamento;118,00 m²;-23.4150384;-51.9447349;3.0;2;1;;;;;;;;;;;;;;;2025-02-11
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/jardim-tres-lagoas/70742;Pedro Granado Imóveis;Jardim Três Lagoas;R$ 495.000,00;Casa;Maringá;PR;70742.0;Casa/Sobrado;102,41 m²;-23.3858341;-51.9736634;3;2;1;;;;;;;;;;;;;;;2025-02-13
https://www.pedrogranado.com.br/comprar/maringa/comercial/casa-comercial/zona-08/85643;Pedro Granado Imóveis;Zona 08;R$ 990.000,00;Casa Comercial;Maringá;PR;85643.0;Comercial;600,00 m²;-23.4288574;-51.9129812;-;3;-;;;;;;;;;;;;;;;2025-02-13
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-03/79163;Pedro Granado Imóveis;Zona 03;R$ 1.101.030,00;Padrão;Maringá;PR;79163.0;Apartamento;107,00 m²;-23.428145;-51.923171;3;2;1;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-com-garagem-80m2-venda-rs-190000?id=79900&ref=79900.12726;Lelo Imóveis;Zona 07;R$ 190.000,00;;Maringa;PR;79900.12726;Apartamento;80,77m²;-1.0;-1.0;3;;1;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-com-garagem-133m2-venda-rs-465000?id=79900&ref=05331.001;Lelo Imóveis;Zona 07;R$ 465.000,00;;Maringa;PR;5331.001;Apartamento;133,61m²;-23.4141838;-51.9471296;3;;1;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-2-quartos-jardim-america-maringa-com-garagem-86m2-venda-rs-220000?id=79900&ref=04752.001;Lelo Imóveis;Jardim America;R$ 220.000,00;;Maringa;PR;4752.001;Apartamento;86,29m²;-23.4274682;-51.889691;2;;1;;;;;;;;;;;;;;;2025-02-13
