property_url;broker;district;price;type;city;state;ref;category;area;lat;long;num_bedroom;num_bathroom;num_garage
https://www.pedrogranado.com.br/comprar/maringa/terreno/comercial/jardim-sao-domingos/34352;Pedro Granado Imóveis;Jardim São Domingos;R$ 180.000,00;Comercial;Maringá;PR;34352;Terreno;700,00 m²;-23.38452308937342;-52.03309954260559;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/parque-residencial-patricia/37703;Pedro Granado Imóveis;Parque Residencial Patrícia;R$ 180.000,00;Padrão;Maringá;PR;37703;Apartamento;50,76 m²;-23.4160621;-51.8976481;2;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-07/2291;Pedro Granado Imóveis;Zona 07;R$ 185.000,00;Padrão;Maringa;PR;2291;Apartamento;31,42 m²;-23.4109751;-51.9419312;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/novo-horizonte/58961;Pedro Granado Imóveis;Novo Horizonte;R$ 190.000,00;Padrão;Maringá;PR;58961;Apartamento;59,39 m²;-23.4209995;-51.93305580000003;3;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/kitnet/jardim-universitario/88532;Pedro Granado Imóveis;Jardim Universitário;R$ 190.000,00;Kitnet;Maringá;PR;88532;Apartamento;30,23 m²;-23.4105297;-51.94729;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/casasobrado/casa/conjunto-joao-de-barro-itaparica/83153;Pedro Granado Imóveis;Conjunto João De Barro Itaparica;R$ 190.000,00;Casa;Maringá;PR;83153;Casa/Sobrado;327,38 m²;-23.39471279427728;-51.89158346231822;2;1;-
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-santa-rosa/30953;Pedro Granado Imóveis;Jardim Santa Rosa;R$ 190.000,00;Padrão;Maringá;PR;30953;Terreno;156,25 m²;-23.453089;-51.95816749999999;-;-;-
https://www.pedrogranado.com.br/alugar/maringa/comercial/sala-edcond/zona-01/629;Pedro Granado Imóveis;Zona 01;R$ 199.000,00 (V) - R$ 1.100,00 (L);Sala EdCond;Maringa;PR;629;Comercial;;-23.4200617;-51.9388795;-;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/kitnet/zona-07/97082;Pedro Granado Imóveis;Zona 07;R$ 200.000,00;Kitnet;Maringá;PR;97082;Apartamento;25,81 m²;-23.4097918;-51.9354081;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/terreno/condominio/loteamento-sumare/03992;Pedro Granado Imóveis;Loteamento Sumaré;R$ 200.000,00;Condomínio;Maringá;PR;03992;Terreno;500,00 m²;-23.36911418173087;-51.90363586872559;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/comercial/sala/centro/62063;Pedro Granado Imóveis;Centro;R$ 200.000,00;Sala;Maringá;PR;62063;Comercial;64,00 m²;-23.4215651;-51.9351648;-;1;-
https://www.pedrogranado.com.br/comprar/maringa/terreno/padrao/jardim-paris-vi/08723;Pedro Granado Imóveis;Jardim Paris Vi;R$ 205.000,00;Padrão;Maringá;PR;08723;Terreno;162,00 m²;-23.3827512;-51.9615287;-;-;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jd.-novo-horizonte/5021;Pedro Granado Imóveis;Jd. Novo Horizonte;R$ 210.000,00;Padrão;Maringa;PR;5021;Apartamento;55,96 m²;-23.4438305;-51.93704450000001;3;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-01/9122;Pedro Granado Imóveis;Zona 01;R$ 210.000,00;Padrão;Maringa;PR;9122;Apartamento;23,11 m²;-23.419059;-51.93954310000004;1;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/zona-01/2333;Pedro Granado Imóveis;Zona 01;R$ 210.000,00;Padrão;Maringa;PR;2333;Apartamento;21,00 m²;-23.419129;-51.9348968;1;1;1
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-universitario/3224;Pedro Granado Imóveis;Jardim Universitário;R$ 210.000,00;Padrão;Maringa;PR;3224;Apartamento;21,71 m²;-23.4094169;-51.94299569999998;1;1;1
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/jardim-maravilha/54572;Pedro Granado Imóveis;Jardim Maravilha;R$ 210.000,00;Padrão;Maringá;PR;54572;Apartamento;60,89 m²;-23.4209995;-51.9330558;2;1;-
https://www.pedrogranado.com.br/comprar/maringa/apartamento/padrao/conjunto-habitacional-lea-leal/91703;Pedro Granado Imóveis;Conjunto Habitacional Lea Leal;R$ 210.000,00;Padrão;Maringá;PR;91703;Apartamento;53,94 m²;-23.4156348;-51.89918660000001;3;1;-
