property_url;broker_x;district_x;price_x;type_x;city_x;state_x;ref_x;category_x;area_x;lat_x;long_x;num_bedroom_x;num_bathroom_x;num_garage_x;broker_y;district_y;price_y;type_y;city_y;state_y;ref_y;category_y;area_y;lat_y;long_y;num_bedroom_y;num_bathroom_y;num_garage_y;sold_date
https://www.leloimoveis.com.br/imovel/casa-residencial-5-quartos-zona-07-maringa-com-garagem-270m2-venda-rs-700000?id=79900&ref=79900.12424;Lelo Imóveis;Zona 07;R$ 700.000,00;;Maringa;PR;79900.12424;Casa;270,61m²;-23.4110923;-51.9287759;5;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-jardim-cerro-azul-maringa-com-garagem-146m2-venda-rs-528000?id=79900&ref=79900.12193;Lelo Imóveis;Jardim Cerro Azul;R$ 528.000,00;;Maringa;PR;79900.12193;Apartamento;146,00m²;-23.4405355;-51.9370439;3;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/terreno-jardins-de-monet-residence-maringa-540m2-venda-rs-850000?id=79900&ref=79900.11783;Lelo Imóveis;Jardins de Monet Residence;R$ 850.000,00;;Maringa;PR;79900.11783;Terreno;540,75m²;-23.3620666;-52.0085711;;;;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/casa-residencial-2-quartos-jardim-atami-maringa-com-garagem-150m2-venda-rs-340000?id=79900&ref=79900.11968;Lelo Imóveis;Jardim Atami;R$ 340.000,00;;Maringa;PR;79900.11968;Casa;150,00m²;-23.4618587;-51.9509583;2;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-01-maringa-com-garagem-241m2-venda-rs-730000?id=79900&ref=79900.11851;Lelo Imóveis;Zona 01;R$ 730.000,00;;Maringa;PR;79900.11851;Apartamento;241,62m²;-23.4240571;-51.9426816;3;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-com-garagem-231m2-venda-rs-1690000?id=79900&ref=79900.11371;Lelo Imóveis;Zona 07;R$ 1.690.000,00;;Maringa;PR;79900.11371;Apartamento;231,72m²;-23.4147637;-51.9359941;3;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/apartamento-3-quartos-zona-07-maringa-com-garagem-116m2-venda-rs-315000?id=79900&ref=02904.001;Lelo Imóveis;Zona 07;R$ 315.000,00;;Maringa;PR;2904.001;Apartamento;116,36m²;-23.4148042;-51.9405613;3;;1;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/casa-residencial-3-quartos-jardim-paris-maringa-com-garagem-150m2-venda-rs-557000?id=79900&ref=79900.10634;Lelo Imóveis;Jardim Paris;R$ 557.000,00;;Maringa;PR;79900.10634;Casa;150,00m²;-23.386098;-51.9513856;3;;2;;;;;;;;;;;;;;;2025-02-13
https://www.leloimoveis.com.br/imovel/casa-residencial-4-quartos-jardim-toquio-maringa-com-garagem-347m2-venda-rs-1450000?id=79900&ref=79900.7456;Lelo Imóveis;Jardim Toquio;R$ 1.450.000,00;;Maringa;PR;79900.7456;Casa;347,00m²;-23.3884156;-51.9221176;4;;;;;;;;;;;;;;;;;2025-02-13
https://www.silvioiwata.com.br/imovel/3620004982/casa-a-venda/marialva-pr-jd-italia ;Silvio Iwata;;R$ 180.000,00;;Marialva;PR;;Casa;61,69 m²;-23.4934655;-51.772414;2;1.0;1;;;;;;;;;;;;;;;2025-02-13
